outcome_type,quantidade,media,mediana,moda,q1,q3,variancia,desvio_padrao,minimo,maximo,amplitude
Adoption,33108,1.6728679572540512,0.821917808219178,0.1643835616438356,0.1643835616438356,2.0,5.751843773602626,2.3983001842143588,0.0,18.0,18.0
Transfer,23493,1.5953298825823372,0.7397260273972602,1.0,0.0821917808219178,2.0,6.173724565949298,2.4846980834598997,0.0,25.0,25.0
