age_days,outcome_year,age_days_std,outcome_year_std
14.0,2014,-0.7226848226220518,-1.082312856521106
365.0,2013,-0.3906777313928024,-1.8729593475650759
365.0,2014,-0.3906777313928024,-1.082312856521106
3285.0,2014,2.3713185831069366,-1.082312856521106
150.0,2014,-0.5940438983850777,-1.082312856521106
120.0,2013,-0.6224205728491161,-1.8729593475650759
365.0,2014,-0.3906777313928024,-1.082312856521106
1095.0,2014,0.2998213472321324,-1.082312856521106
30.0,2014,-0.7075505962412314,-1.082312856521106
90.0,2014,-0.6507972473131546,-1.082312856521106
365.0,2014,-0.3906777313928024,-1.082312856521106
730.0,2014,-0.045428192080334995,-1.082312856521106
60.0,2014,-0.6791739217771929,-1.082312856521106
1460.0,2014,0.6450708865445998,-1.082312856521106
2920.0,2014,2.0260690437944695,-1.082312856521106
730.0,2014,-0.045428192080334995,-1.082312856521106
365.0,2014,-0.3906777313928024,-1.082312856521106
21.0,2014,-0.7160635985804429,-1.082312856521106
60.0,2014,-0.6791739217771929,-1.082312856521106
60.0,2014,-0.6791739217771929,-1.082312856521106
