animal_type,total_registros,total_adocoes,proporcao_adocao,percentual_adocao
Dog,44233,20051,0.4533040942282911,45.330409422829106
Cat,29411,12729,0.43279725272857095,43.27972527285709
Bird,333,114,0.34234234234234234,34.234234234234236
Livestock,9,2,0.2222222222222222,22.22222222222222
Other,4242,212,0.04997642621404998,4.997642621404998
