outcome_type,quantidade,media,mediana,q1,q3,variancia,desvio_padrao,minimo,maximo,outliers,amplitude,iqr,percentual_outliers
Return to Owner,14354,3.948920161627421,3.0,1.0,6.0,12.70003851459223,3.563711339964592,0.0,22.0,345,22.0,5.0,2.4035112163856764
Euthanasia,6075,2.516916624386944,1.0,0.6575342465753424,3.0,11.201162589674162,3.3468137966839686,0.0,22.0,673,22.0,2.3424657534246576,11.078189300411523
Rto-Adopt,150,3.178538812785388,2.0,1.0,4.75,10.344903766189223,3.2163494471511056,0.1643835616438356,16.0,8,15.835616438356164,3.75,5.333333333333334
Missing,46,1.63776057176891,0.4520547945205479,0.2465753424657534,1.75,8.308061938005789,2.8823708883496915,0.038356164383561646,15.0,4,14.961643835616439,1.5034246575342465,8.695652173913043
Died,680,1.4418251410153102,0.1643835616438356,0.07671232876712329,1.0,7.906300505634217,2.8118144507833756,0.0,16.0,103,16.0,0.9232876712328767,15.147058823529411
Transfer,23493,1.5953298825823372,0.7397260273972602,0.0821917808219178,2.0,6.173724565949298,2.4846980834598997,0.0,25.0,2405,25.0,1.9178082191780823,10.237091899714809
Adoption,33108,1.6728679572540512,0.821917808219178,0.1643835616438356,2.0,5.751843773602626,2.3983001842143588,0.0,18.0,3558,18.0,1.8356164383561644,10.746647335991302
Disposal,306,1.191691288387501,1.0,1.0,1.0,1.303365861972753,1.1416504990463383,0.0027397260273972603,12.0,137,11.997260273972604,0.0,44.771241830065364
Relocate,16,0.913527397260274,0.7876712328767124,0.4931506849315068,1.0,0.36296287608682054,0.6024640039760223,0.0821917808219178,2.0,3,1.9178082191780823,0.5068493150684932,18.75
